,Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX
0,a,0,1.46,1.14,2,30,0.9333333333333333,1041179
1,aardvark,0,4.68,0.86,0,28,1.0,21
2,aback,0,1.65,1.07,4,27,0.8518518518518519,15
3,abacus,0,4.52,1.12,2,29,0.9310344827586207,12
4,abandon,0,2.54,1.45,1,27,0.9629629629629629,413
5,abandoned,0,2.52,1.27,0,29,1.0,678
6,abandonee,0,2.92,1.28,4,28,0.8571428571428571,0
7,abandoner,0,2.5,1.5,2,30,0.9333333333333333,1
8,abandonment,0,2.54,1.29,0,28,1.0,49
9,abasement,0,1.67,1.01,2,26,0.9230769230769231,0
10,abatement,0,1.92,1.29,4,30,0.8666666666666667,3
11,abbreviate,0,2.59,1.53,0,27,1.0,1
12,abbreviated,0,3.1,1.54,0,30,1.0,16
13,abbreviation,0,3.07,1.51,0,29,1.0,12
14,abdicate,0,2.08,1.29,2,28,0.9285714285714286,9
15,abdomen,0,4.7,0.67,0,27,1.0,171
16,abdominal,0,4.28,1.16,0,29,1.0,174
17,abdominally,0,3.15,1.46,3,30,0.9,0
18,abduct,0,2.88,1.51,2,28,0.9285714285714286,36
19,abductee,0,3.27,1.44,0,30,1.0,20
20,abduction,0,3.07,1.47,0,27,1.0,185
21,abductor,0,3.89,1.37,0,28,1.0,18
22,abhor,0,1.81,1.17,3,29,0.896551724137931,12
23,abhorrence,0,2.15,1.26,1,28,0.9642857142857143,0
24,abhorrently,0,2.04,1.32,2,29,0.9310344827586207,0
25,abhorring,0,1.68,0.8,4,29,0.8620689655172413,0
26,abide,0,1.68,0.86,0,28,1.0,138
27,abiding,0,2.07,1.13,0,29,1.0,25
28,abidingly,0,1.82,0.94,2,30,0.9333333333333333,0
29,ability,0,1.81,0.88,0,27,1.0,980
30,abject,0,1.67,0.96,4,28,0.8571428571428571,20
31,ablaze,0,3.82,1.16,0,28,1.0,21
32,able,0,2.38,1.42,1,27,0.9629629629629629,8155
33,ably,0,1.78,1.19,2,29,0.9310344827586207,9
34,abnormal,0,2.14,1.38,0,29,1.0,148
35,abnormality,0,2.48,1.33,0,25,1.0,26
36,abnormally,0,1.75,0.84,0,28,1.0,20
37,aboard,0,3.97,1.3,0,30,1.0,1358
38,abode,0,3.92,1.38,2,26,0.9230769230769231,33
39,abolish,0,2.19,1.17,0,26,1.0,24
40,abolishable,0,1.96,1.16,3,27,0.8888888888888888,0
41,abolisher,0,2.29,1.15,1,29,0.9655172413793104,0
42,abolishment,0,2.31,1.42,0,29,1.0,0
43,abolition,0,2.43,1.5,1,29,0.9655172413793104,10
44,abolitionism,0,1.86,0.93,1,29,0.9655172413793104,1
45,abolitionist,0,3.28,1.51,2,27,0.9259259259259259,11
46,abominable,0,1.89,0.99,2,30,0.9333333333333333,32
47,abominableness,0,1.58,0.83,3,27,0.8888888888888888,0
