word,fam,conc,imag,meanc,meanp,aoa
a,632,201.0,217.0,260.0,,
abandon,510,,395.0,,,
abandonment,359,272.0,348.0,,,544.0
abasement,226,275.0,262.0,230.0,280.0,
abatement,294,250.0,189.0,,,644.0
abbess,187,401.0,318.0,218.0,248.0,
abdication,284,275.0,326.0,277.0,472.0,
abdomen,426,586.0,548.0,,475.0,556.0
abduction,413,337.0,463.0,390.0,480.0,
aberration,208,330.0,285.0,,264.0,
abhor,360,320.0,335.0,327.0,,
ability,563,273.0,327.0,,560.0,453.0
able,575,302.0,284.0,355.0,,
abode,334,498.0,458.0,419.0,664.0,553.0
abominable,358,,387.0,,,
aboriginal,295,335.0,389.0,290.0,,
about,593,227.0,225.0,300.0,,
above,607,,346.0,,,
abridgement,303,285.0,240.0,,,644.0
abrupt,486,266.0,362.0,439.0,,
abscess,392,538.0,491.0,,,533.0
absolute,495,,268.0,,,
absolution,372,241.0,256.0,,,608.0
abstraction,368,,,,,
abstruse,136,,225.0,,,
abundance,448,267.0,386.0,,,519.0
abundant,524,351.0,443.0,495.0,,
abuse,450,,,,,
abyss,293,450.0,453.0,323.0,588.0,597.0
academy,509,499.0,504.0,421.0,,
acceleration,499,358.0,486.0,,,536.0
acceptable,521,,288.0,,,
accident,564,419.0,518.0,,,329.0
accommodation,533,464.0,466.0,,,536.0
accomplice,446,395.0,391.0,345.0,,
accord,418,299.0,248.0,307.0,,
accordance,431,270.0,237.0,,,544.0
accordion,394,586.0,576.0,352.0,589.0,
account,523,365.0,361.0,392.0,,
accumulation,451,285.0,354.0,,,539.0
accurate,566,,305.0,,,
accuser,363,424.0,343.0,,,511.0
ache,523,443.0,443.0,484.0,,
acidity,399,384.0,432.0,,,622.0
acknowledge,503,290.0,316.0,426.0,,
acorn,397,,,,,
acre,427,462.0,464.0,,,411.0
acrobat,431,566.0,583.0,420.0,567.0,
act,566,379.0,433.0,431.0,,319.0
active,552,,436.0,,,
actual,589,,259.0,,,
actuality,361,247.0,213.0,,,586.0
acumen,149,272.0,229.0,210.0,,
adage,160,373.0,324.0,,300.0,
adam,372,,488.0,,,
adder,361,615.0,583.0,,,356.0
addition,535,339.0,347.0,405.0,,314.0
additional,489,,303.0,,,
adequate,485,,268.0,,,
adherence,375,265.0,326.0,,,603.0
adjective,515,316.0,394.0,392.0,,
adjournment,327,311.0,305.0,,,606.0
administration,502,331.0,413.0,,,561.0
admiral,436,528.0,543.0,381.0,611.0,
admire,531,296.0,390.0,457.0,,
admission,482,305.0,389.0,,,458.0
admonish,341,269.0,302.0,292.0,,
adolescence,444,267.0,467.0,,,597.0
adorn,441,339.0,370.0,355.0,,
adult,590,492.0,526.0,543.0,,
adultery,456,311.0,494.0,,,583.0
advanced,523,,320.0,,,
advantage,562,282.0,292.0,,448.0,
adventurer,402,462.0,497.0,,,406.0
adverb,473,352.0,315.0,322.0,,
adversity,360,314.0,326.0,,506.0,
advice,566,291.0,352.0,,539.0,425.0
adze,138,283.0,256.0,164.0,,
aerial,481,517.0,567.0,,,428.0
affable,266,,315.0,,,
affair,531,,361.0,,,
affection,513,280.0,484.0,,636.0,467.0
affectionate,507,,471.0,,,
affirm,444,,281.0,,,
affirmation,332,242.0,313.0,,,583.0
affright,219,229.0,232.0,,,656.0
afraid,575,336.0,451.0,507.0,,
after,575,242.0,217.0,302.0,,
afternoon,655,406.0,513.0,,,281.0
against,600,,285.0,,,
age,582,390.0,468.0,428.0,,258.0
agency,420,426.0,366.0,,,553.0
aggress,351,271.0,270.0,244.0,,
aggressive,500,,417.0,,,
aggressor,359,439.0,383.0,,,589.0
agile,432,356.0,454.0,436.0,,
agility,397,327.0,464.0,,575.0,
agony,509,348.0,491.0,485.0,606.0,461.0
agreement,541,327.0,367.0,,448.0,
ague,196,365.0,224.0,,,661.0
ah,519,253.0,330.0,322.0,,
aid,536,372.0,413.0,433.0,,
ail,370,385.0,391.0,302.0,,
aim,549,324.0,383.0,383.0,,344.0
air,608,518.0,450.0,497.0,636.0,
airship,332,585.0,545.0,,,406.0
airy,423,334.0,368.0,353.0,,
aisle,503,509.0,528.0,400.0,,
alacrity,245,269.0,189.0,,,678.0
albatross,309,621.0,583.0,,,528.0
albumin,217,415.0,352.0,205.0,,
alchemist,262,462.0,394.0,,,664.0
alcohol,578,618.0,598.0,535.0,608.0,
ale,454,578.0,526.0,410.0,,
alert,528,400.0,428.0,430.0,,
algae,317,545.0,424.0,,,631.0
algebra,483,453.0,510.0,,672.0,
alias,384,232.0,294.0,,,561.0
alien,479,399.0,470.0,422.0,,
alimony,415,454.0,456.0,,572.0,
alive,593,,426.0,,,
alkali,391,437.0,432.0,,,633.0
all,582,267.0,332.0,513.0,,
allegation,383,272.0,291.0,,,631.0
allege,279,,281.0,,,
allegory,314,283.0,244.0,,448.0,650.0
alley,526,557.0,572.0,418.0,,
alligator,442,624.0,627.0,425.0,772.0,
allophone,74,,,,,
allotment,420,502.0,470.0,,,486.0
allow,504,268.0,373.0,368.0,,
ally,410,485.0,453.0,,,446.0
alone,562,390.0,480.0,460.0,,
alphabet,493,449.0,499.0,,,244.0
also,552,194.0,264.0,333.0,,
alter,503,430.0,413.0,447.0,,
alternative,518,,268.0,,,
although,573,218.0,208.0,270.0,,
altitude,420,373.0,472.0,,,534.0
aluminium,453,600.0,505.0,,,514.0
aluminum,494,523.0,501.0,381.0,,
always,600,249.0,280.0,421.0,,
am,603,259.0,247.0,242.0,,
amateur,502,388.0,397.0,,,522.0
amazement,495,277.0,456.0,,450.0,
ambassador,477,546.0,545.0,392.0,522.0,
ambition,517,281.0,346.0,417.0,,483.0
ambitious,540,,404.0,,,
ambulance,499,595.0,627.0,,752.0,
ambush,436,,,,,
amendment,403,326.0,305.0,,,597.0
amethyst,285,573.0,510.0,,,567.0
amity,200,278.0,205.0,,,656.0
ammonia,524,563.0,536.0,343.0,,
amount,583,335.0,316.0,,584.0,392.0
amour,362,308.0,536.0,,508.0,
ampere,272,327.0,304.0,231.0,,
amplifier,474,564.0,559.0,,596.0,
amplitude,374,315.0,389.0,,,650.0
amuse,486,321.0,455.0,416.0,,
an,595,217.0,195.0,153.0,,
analogy,417,247.0,267.0,,,617.0
analytic,405,,303.0,,,
anchor,458,595.0,561.0,390.0,,
ancient,429,,451.0,,,
and,620,220.0,226.0,290.0,,
anecdote,388,398.0,357.0,,584.0,619.0
anele,103,302.0,204.0,184.0,,
angel,470,399.0,554.0,,,242.0
anger,541,315.0,488.0,489.0,583.0,
angle,518,467.0,503.0,390.0,624.0,
angry,600,,492.0,,,
animal,620,587.0,575.0,,700.0,222.0
animosity,324,253.0,388.0,,519.0,
ankle,543,608.0,613.0,,682.0,264.0
anneal,176,267.0,219.0,193.0,,
annex,390,464.0,435.0,,,536.0
announcement,519,368.0,381.0,,,464.0
annual,464,,339.0,,,
answer,605,397.0,368.0,466.0,604.0,294.0
ant,511,604.0,613.0,415.0,,
antagonism,417,288.0,378.0,,,636.0
anteroom,241,512.0,375.0,,,629.0
anticipation,492,288.0,435.0,,,572.0
antique,484,492.0,549.0,405.0,,439.0
antitoxin,214,531.0,388.0,,567.0,
anvil,302,,,,,
anxiety,548,241.0,422.0,,569.0,
anxious,544,,376.0,,,
any,542,222.0,206.0,272.0,,
anybody,591,343.0,329.0,,,306.0
anyone,605,,288.0,,,
apart,555,304.0,364.0,398.0,,
apartment,491,575.0,556.0,490.0,,522.0
apathy,472,364.0,376.0,377.0,,
ape,547,654.0,616.0,538.0,,
aperture,356,467.0,424.0,,,639.0
apex,321,408.0,375.0,270.0,,
apology,510,311.0,400.0,,,406.0
apparent,531,,266.0,,,
appeal,514,333.0,402.0,,,431.0
appear,534,271.0,341.0,336.0,,
appearance,578,358.0,425.0,,568.0,
appendix,493,,,,,
apple,598,620.0,637.0,451.0,767.0,211.0
appliance,493,558.0,554.0,,664.0,
appointment,541,341.0,386.0,,,425.0
appraise,459,279.0,306.0,382.0,,
appreciate,552,,300.0,,,
approach,508,323.0,329.0,,,444.0
approval,526,267.0,375.0,,,469.0
apricot,428,638.0,591.0,,,386.0
apron,516,,565.0,,,
apt,428,183.0,295.0,348.0,,
aptitude,505,241.0,310.0,,525.0,
arbiter,238,421.0,257.0,,371.0,664.0
arbitrary,427,,276.0,,,
arbor,289,430.0,374.0,260.0,,
arc,397,471.0,494.0,363.0,,
arch,483,512.0,557.0,371.0,,367.0
archery,351,470.0,550.0,,,433.0
ardent,364,,347.0,,,
are,564,195.0,262.0,277.0,,
area,560,384.0,394.0,398.0,,392.0
argue,564,,412.0,,,
arid,418,399.0,433.0,385.0,,
arise,409,,354.0,,,
aristocracy,401,371.0,470.0,,,569.0
ark,417,561.0,517.0,392.0,,
arm,608,592.0,593.0,428.0,692.0,192.0
armadillo,181,558.0,401.0,,438.0,
armor,376,544.0,503.0,363.0,,
armour,406,591.0,536.0,,,400.0
army,555,543.0,578.0,515.0,688.0,317.0
aromatic,307,,443.0,,,
arrangement,525,308.0,316.0,,,489.0
array,383,371.0,365.0,,417.0,
arrival,548,328.0,419.0,,,394.0
arrogant,407,,402.0,,,
arrow,490,595.0,619.0,,680.0,
art,529,440.0,493.0,565.0,,
article,533,479.0,421.0,,,406.0
artifice,252,388.0,240.0,,,637.0
artificial,514,350.0,386.0,428.0,,
artist,547,554.0,600.0,528.0,665.0,
artistic,468,,441.0,,,
as,586,158.0,224.0,238.0,,
asbestos,427,578.0,513.0,,,578.0
ash,494,583.0,553.0,350.0,,343.0
ashamed,516,325.0,397.0,431.0,,
ashen,274,351.0,395.0,283.0,,
asparagus,534,608.0,590.0,442.0,,
aspect,482,217.0,233.0,,,547.0
asphalt,488,583.0,569.0,385.0,,
aspirin,546,574.0,542.0,445.0,,
assault,470,410.0,481.0,,556.0,
assemblage,286,,,,,
assemble,482,394.0,413.0,,,417.0
assent,325,311.0,345.0,,,575.0
assist,516,342.0,368.0,425.0,,
assistance,534,288.0,348.0,,,464.0
assortment,492,355.0,367.0,,,408.0
assumption,521,,257.0,,,
aster,205,447.0,224.0,,,631.0
astrolabe,126,391.0,150.0,,,697.0
astronomy,391,419.0,483.0,,,489.0
astute,335,241.0,261.0,281.0,,
asymptote,281,,,,,
at,615,194.0,225.0,258.0,,
ate,562,385.0,364.0,403.0,,
athlete,482,545.0,591.0,,,428.0
athletics,548,437.0,551.0,,692.0,
atmosphere,540,385.0,444.0,,717.0,517.0
atom,513,481.0,499.0,426.0,,
atrocity,371,296.0,404.0,,417.0,589.0
attack,542,411.0,501.0,476.0,,
attempt,558,313.0,302.0,,,392.0
attend,545,324.0,386.0,410.0,,
attendant,494,533.0,499.0,,450.0,
attentive,479,,352.0,,,
attitude,553,265.0,321.0,,560.0,481.0
attribute,421,266.0,295.0,,383.0,
audience,511,515.0,555.0,,,425.0
audit,326,371.0,253.0,,,642.0
audition,479,370.0,395.0,397.0,,
auditorium,519,552.0,573.0,380.0,,
aunt,554,564.0,567.0,498.0,,233.0
aural,192,309.0,253.0,197.0,,
aurora,254,346.0,345.0,,,636.0
authentic,477,276.0,428.0,470.0,,
author,554,502.0,460.0,502.0,524.0,414.0
authoritative,443,,356.0,,,
automobile,456,607.0,628.0,,616.0,483.0
autumn,533,421.0,622.0,,,278.0
available,566,,285.0,,,
avalanche,399,554.0,596.0,,672.0,
avenue,529,539.0,564.0,,609.0,372.0
average,579,,297.0,,,
aviator,272,492.0,445.0,,,575.0
avid,354,275.0,325.0,303.0,,
avowal,215,240.0,208.0,,,642.0
await,456,,293.0,,,
aware,546,,298.0,,,
away,573,257.0,272.0,384.0,,
aweigh,167,231.0,213.0,162.0,,
awkward,502,329.0,419.0,476.0,,
awl,257,413.0,292.0,200.0,,
axe,461,623.0,597.0,,,311.0
axil,323,467.0,389.0,289.0,,
axiom,318,306.0,311.0,255.0,,
axle,482,555.0,560.0,357.0,,
aye,333,233.0,255.0,210.0,,
babe,370,562.0,562.0,,,303.0
baby,597,589.0,608.0,573.0,704.0,
back,587,540.0,483.0,418.0,,225.0
background,540,383.0,427.0,,588.0,400.0
bacteria,460,560.0,505.0,437.0,612.0,
bad,592,308.0,388.0,531.0,,
badge,473,561.0,519.0,410.0,,
bag,634,603.0,570.0,,,217.0
bagpipe,397,601.0,594.0,380.0,700.0,377.0
bail,485,441.0,480.0,384.0,,
bake,549,,495.0,,,
balance,545,366.0,429.0,,,367.0
bale,386,462.0,473.0,278.0,,
ball,575,615.0,622.0,515.0,,150.0
balloon,520,623.0,583.0,394.0,,
ballot,453,455.0,437.0,,,539.0
banality,175,292.0,255.0,213.0,312.0,
banana,576,633.0,644.0,449.0,,
band,555,590.0,579.0,477.0,,236.0
bandage,546,639.0,554.0,482.0,,
bandit,388,547.0,562.0,,692.0,
bang,503,435.0,470.0,391.0,,
bank,573,573.0,560.0,465.0,,
banker,524,547.0,565.0,427.0,656.0,392.0
banner,381,567.0,569.0,,620.0,
bar,592,565.0,596.0,500.0,608.0,
barb,302,527.0,448.0,,,528.0
bard,224,395.0,406.0,249.0,480.0,
bare,521,399.0,487.0,453.0,,
bargain,552,399.0,505.0,,,394.0
bark,518,563.0,539.0,433.0,,
barn,466,614.0,589.0,,,289.0
barnacle,277,542.0,458.0,,569.0,
baron,339,513.0,498.0,,572.0,472.0
barrel,487,590.0,602.0,385.0,616.0,319.0
base,520,441.0,436.0,398.0,,369.0
basement,522,585.0,571.0,452.0,683.0,
bashful,435,,400.0,,,
basic,533,,271.0,,,
basilisk,79,,,,,
basin,504,602.0,542.0,405.0,,250.0
basket,485,606.0,560.0,407.0,,
bass,540,547.0,544.0,421.0,,
bat,514,564.0,586.0,412.0,,
bath,599,600.0,601.0,477.0,,172.0
baton,424,570.0,516.0,338.0,,
battle,537,564.0,597.0,495.0,,
bawl,429,384.0,417.0,370.0,,
bay,474,580.0,570.0,,,336.0
bayonet,293,600.0,548.0,,,500.0
be,613,225.0,274.0,325.0,,
beach,553,612.0,667.0,518.0,,
beak,476,552.0,574.0,385.0,,
beam,476,502.0,539.0,386.0,,394.0
bean,549,604.0,538.0,371.0,,
bear,526,585.0,572.0,408.0,,
beard,538,580.0,630.0,434.0,,
beast,456,564.0,558.0,,608.0,319.0
beat,536,361.0,406.0,471.0,,
beau,242,419.0,394.0,,,611.0
beautiful,609,393.0,532.0,617.0,,
beauty,561,336.0,513.0,598.0,,344.0
beaver,470,589.0,612.0,412.0,819.0,
became,531,273.0,262.0,334.0,,
because,604,196.0,244.0,310.0,,
become,603,,259.0,,,
bed,636,635.0,635.0,545.0,,169.0
bedel,118,276.0,177.0,144.0,,
bedroom,646,615.0,629.0,,,206.0
bee,554,597.0,623.0,441.0,,
beech,374,446.0,435.0,290.0,,
beef,598,637.0,625.0,531.0,,
beehive,398,611.0,572.0,,,344.0
been,567,215.0,222.0,270.0,,
beer,604,587.0,598.0,460.0,,
beet,497,645.0,555.0,397.0,,
beetle,503,619.0,640.0,444.0,,
before,583,261.0,255.0,395.0,,
beg,529,300.0,431.0,421.0,,
began,593,,251.0,,,
beggar,435,533.0,593.0,472.0,650.0,364.0
beginning,593,318.0,359.0,,,311.0
behaviour,573,295.0,351.0,,,400.0
behind,603,,371.0,,,
being,568,276.0,323.0,361.0,,383.0
belfry,211,526.0,453.0,,625.0,
belief,554,270.0,328.0,418.0,524.0,447.0
bell,543,620.0,610.0,450.0,,
belle,341,388.0,401.0,362.0,,
belligerent,320,,344.0,,,
belly,486,630.0,576.0,440.0,,
beloved,406,356.0,456.0,,,453.0
below,566,,317.0,,,
belt,550,602.0,494.0,398.0,,
bench,488,614.0,555.0,,,311.0
bend,510,,460.0,,,
benefactor,356,449.0,345.0,,,600.0
beneficial,496,251.0,362.0,423.0,,
benefit,481,376.0,445.0,415.0,,
benzene,318,535.0,418.0,,,675.0
bequest,316,349.0,294.0,,,600.0
bereavement,249,298.0,409.0,,575.0,
beret,419,578.0,517.0,392.0,,
berry,470,573.0,551.0,448.0,,289.0
berth,379,425.0,402.0,287.0,,
besieger,255,441.0,335.0,,,592.0
best,600,282.0,324.0,484.0,,
bet,527,403.0,453.0,,,364.0
betel,129,320.0,238.0,200.0,,
betrayal,392,258.0,358.0,,500.0,492.0
better,633,,274.0,,,
betterment,293,270.0,310.0,,,569.0
beverage,566,526.0,565.0,,658.0,
bewilderment,421,270.0,407.0,,,522.0
bhang,116,316.0,217.0,185.0,,
bias,399,,,,,
bib,380,548.0,488.0,357.0,,
bible,496,585.0,594.0,489.0,,
bid,473,364.0,394.0,,,425.0
bier,162,411.0,294.0,242.0,,
big,640,,463.0,,,
bilious,154,,293.0,,,
bill,552,528.0,535.0,428.0,,406.0
billed,497,377.0,355.0,298.0,,
bin,580,598.0,562.0,,,192.0
biology,526,400.0,441.0,469.0,,
birch,518,620.0,561.0,448.0,,
bird,592,602.0,614.0,519.0,788.0,206.0
birth,527,471.0,532.0,505.0,,328.0
biscuit,521,574.0,571.0,397.0,,
bishop,467,587.0,524.0,437.0,,
bison,298,,541.0,,,
bit,460,392.0,432.0,392.0,,
bite,593,509.0,553.0,,,214.0
bitter,526,409.0,457.0,432.0,,
bitterness,430,270.0,378.0,,,497.0
bivouac,154,487.0,370.0,,536.0,
black,603,470.0,589.0,493.0,,
blacksmith,407,589.0,575.0,369.0,744.0,
blade,517,584.0,568.0,423.0,,344.0
blame,541,293.0,356.0,,,328.0
bland,436,338.0,348.0,360.0,,
blanket,563,622.0,582.0,449.0,,211.0
blasphemy,327,324.0,355.0,,519.0,
bleach,549,544.0,510.0,387.0,,
bleak,466,307.0,435.0,415.0,,
blessing,483,277.0,422.0,,619.0,392.0
blew,533,367.0,404.0,415.0,,
blind,531,443.0,485.0,417.0,,
blink,450,,471.0,,,
blister,462,573.0,616.0,,713.0,
block,544,558.0,483.0,,,244.0
blonde,563,502.0,608.0,463.0,,
blood,571,613.0,620.0,467.0,656.0,253.0
bloom,426,520.0,524.0,,512.0,403.0
blossom,507,559.0,618.0,493.0,760.0,
blouse,562,640.0,595.0,530.0,,
blow,528,397.0,458.0,402.0,,
blue,593,459.0,569.0,446.0,,
bluebell,416,621.0,605.0,,,303.0
blunder,475,322.0,432.0,408.0,,
blunderbuss,221,423.0,358.0,212.0,356.0,
blunt,434,,404.0,,,
blush,535,465.0,551.0,482.0,,378.0
boar,455,558.0,524.0,385.0,,
board,546,565.0,592.0,389.0,692.0,
boast,491,295.0,416.0,,,378.0
boat,584,637.0,631.0,542.0,,
boating,519,494.0,533.0,460.0,,
